Tabelle 1;;;;;;;;;;
Id;;Lokal;Jahr;Telefonnummer;Straße;Hausnummer;lat, lon;Aus der Speisekarte;fremde Identifikatoren;Personen
p128/m3;;Café Restaurant Viktoria;19160611;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;;;
p128/m4;;Café Restaurant Viktoria;19160616;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;"""Fischkarbonade m. Salat""";;
p128/m12;;Café Restaurant Viktoria;19160610;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;;;
p128/m13;;Café Restaurant Viktoria;19160610;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;;;
p128/m2;;Café Restaurant Viktoria;19160612;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;"""Kalbskopf auf Schildkrötenart""";;
p128/m14;;Café Restaurant Viktoria;19160614;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;;;
p128/m15;;Café Restaurant Viktoria;19160615;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;"""Kalbsfüsse eingemacht m. Knödl""";;
p128/m10;;Café Restaurant Viktoria;19160615;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;"""Kalbsfüsse eingemacht m. Knödl""";;
p128/m5;p128_m5.jpg;Café Restaurant Viktoria;19160609;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;"""Amaul""
""Gratbraten""
""Speisen ohne Getränke 10 Pfennig mehr""";;
p128/m6;;Café Restaurant Viktoria;19160611;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;;;
p128/m17;;Café Restaurant Viktoria;19160612;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;"""1/6 junge Gans 100gr""";;
p128/m7;;Café Restaurant Viktoria;19160614;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;"""Merlaus gebraten m Kart""";;
p128/m8;;Café Restaurant Viktoria;19160615;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;"""Einlaufsuppe""";;
p128/m9;;Café Restaurant Viktoria;19160616;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;"""Kirschenstrudel""";;
p128/m10;;Café Restaurant Viktoria;19160618;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;;;
p129/m1;p129_m1_ima2.jpg;Hotel Wagner;19161226;Fernsprecher Nr. 50529, 50564;Sonnenstr.;Nr. 21-23;48.1358581,11.5632589;"""Alle Wünsche und Beschwerden bitte ich zum Zwecke geeigneter Erledigung gütigst an mich oder meinen Direktor stellen zu wollen. Hans Wagner.""
""Ochsengaumensalat"" [gestrichen]
""Schwedenplatte""
""Wagnerplatte""
""Spinatpuddin garniert m Tomatensosse""
""Hohlnudeln m Tomatensosse Käse""
""Alkoholfreier Apfelsaft""
""Knickebein""";;
p130/m1;p130_m1.jpg;Wartburg-Hospiz;19380825;54696;Landwehrstraße;16;48.1364776,11.5605595;„Speisen und Getränke wollen im Speisezimmer bezahlt werden.“;;
p130/m2;p130_m2_ima1.jpg;Wartburg-Hospiz;19380827;54696;Landwehrstraße;16;48.1364776,11.5605595;„Auf Speisen und Getränke 10% Bedienungszuschlag“;;
p131/m1;p131_m1_ima2.jpg;Weichandhof;ca. 1980;Telefon 8111621;München-Obermenzing Betzenweg;81;48.1671736,11.4556235;"""Klare Schildkrötensuppe 'Lacroix' mit altem Sherry""
""Schildkrötensuppe 'Lady Curzon'""
""Omas Eistopf""
""Zitroneneis mit Sekt aufgegossen""
""Bitte verlangen Sie unsere Vorschläge für Extraessen!""
""Bitte verlangen Sie unsere Flaschenwein-Karte""""";;GND107023679
p132/m1;p132_m1.jpg;Der Weinschenk im Weinstadl;ca. 1974;Telefon 221047;Burgstrasse;5;48.1375965,11.5752398;"""Mußbacher Eselshaut""
„ERBGUT""

""Pfälzer Weinkeller im ältesten Haus Münchens"" ";;GND107023679
p133/m1;;Weißbräuhaus-Bierhallen;19380827;Telefon 51343;Bayerstraße;33;48.1391107,11.5573314;"""Eigene Schlächterei""
""Prima Weiß- und Bratwürste""
""Maschinen-Rostbraten""
""Ochsenmaulsalat""
""Spaghetti mit Müllernaise""
""Lumpenbrotzeit""
„Knöcherlsulz""

""Täglich ab 4 Uhr Konzert“";;
p133/m2;;Weißbräuhaus-Bierhallen;19420815;;Bayerstraße;33;48.1391107,11.5573314;;;
p133/m3;p133_m3.jpg;Weißbräuhaus-Bierhallen;19439394;;Bayerstraße;33;48.1391107,11.5573314;;;
p134/m1;p134_m1.jpg;Weisses Bräuhaus;19880403;Telefon 089/299875;München im Tal;;48.1360212,11.5760611;"""Besonders hinweisen möchten wir unsere verehrten Gäste darauf, daß wir unsere Nudeln- und Teigwaren mit Frischei alle im Hause herstellen;
unsere Speisen können sie auch in Thermoschalen (aromaversiegelt und w a r m h a l t e n d ) mit nach Hause nehmen!""

""Vom Grill und aus der Pfanne - und nicht aus der Fritteuse!""";;
p135/m1;p135_m1.jpg;Gaststätte zum Wendelstein;1938;Telefon 59027;Schwanthalerstr.;46;48.1375905,11.5547915;"""Bestgepflegte dunkle und helle Biere""

""Eigene Schlächterei / Hausgemachte Wurstwaren""";;
p63/m2;;Gastwirtschaft zum Landsknecht, Spezial-Gaststätte in Wiener Küche;19370716;Fernsprecher 58813;Landwehr - Straße;47;48.1363656,11.556439;"""Rauchwaren zu Ladenpreisen!""

""Stets frischen Bohnenkaffee 30 Pfg.""

""Speisenzubereitung nach Münchner und Wiener Art""
""Verwendung von Frischfleisch allerbester Qualität unter
Zunahme von reiner Butter, Öl und prima Fett""




";;
P137/m1;p137_m1_ima1.jpg;Eden-Hotel-Wolff Zirbelstube;19741017 - 19741024;;Arnulfstraße;4;48.1416193,11.5593612;"„Küchenchef: Peter Schimanski 
Saucier: Ulrich Altzinger
Meister der Kochkunst: Pan Erich Menzel
Entremetier: Johann Lederer
stellvertr. Küchenchef: Theophil Gartner
Gardemanger: Alfons Wax“

""120 Jahre alt wirst Du ohne Witz, trinkst Du täglich Slivoviz von Jelinek aus Vizovic.""

""Last uns essen damit der Bauch nicht denkt, daß die Zähne schon zum Teufel sind. Slowakisches Sprichwort""

In den Preisen sind 10% Bedienungsgeld und 11% Mehrwertsteuer enthalten.";;
